#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
You dance like a chimpanzee.	ABUSE	P(You dance like)	V(a chimpanzee)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like you are being personally attacked.	OTHER	P(Your responses are like)	V(you are being personally attacked)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your conversations are like a glacier moving.	OTHER	P(Your conversations are like)	V(a glacier moving)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you have been dragged through a bush.	ABUSE	P(You look like)	V(you have been dragged through a bush)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of roadkill.	ABUSE	P(You remind me of)	V(roadkill)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as smart as a toad.	ABUSE	P(You are as smart as)	V(a toad)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You make me feel like a spare part.	OTHER	P(You make me feel like)	V(a spare part)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a karaoke fan.	OTHER	P(You sing like)	V(a karaoke fan)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cook like a student.	OTHER	P(You cook like)	V(a student)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You have the face of a ghost.	OTHER	P(You have the face of)	V(a ghost)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like an old man.	ABUSE	P(With that hairstyle, you look like)	V(an old man)	FIGUR	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a privet hedge.	ABUSE	P(With that hairstyle, you look like)	V(a privet hedge)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are sweating like a priest in a playground.	ABUSE	P(You are sweating like)	V(a priest in a playground)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your approach is like a sledge hammer.	OTHER	P(Your approach is like)	V(a sledge hammer)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like a dog whistle.	OTHER	P(Your comments are like)	V(a dog whistle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like you are carrying weights on your back.	OTHER	P(You are acting like)	V(you are carrying weights on your back)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your smile is like it is upside down.	OTHER	P(Your smile is like)	V(it is upside down)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look as tired as a single mother of four.	ABUSE	P(You look as tired as)	V(a single mother of four)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You sing like the wind whistling through my windows on a rainy night.	OTHER	P(You sing like)	V(the wind whistling through my windows on a rainy night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like a determined police officer directing traffic.	OTHER	P(Your arms are like)	V(a determined police officer directing traffic)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your arms are like a windmill.	OTHER	P(Your arms are like)	V(a windmill)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of someone disabled.	ABUSE	P(Your movements remind me of)	V(someone disabled)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your clothes are like you are always on your way to a funeral.	ABUSE	P(Your clothes are like)	V(you are always on your way to a funeral)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your smile is like you aren't feeling like yourself these days.	OTHER	P(Your smile is like)	V(you aren't feeling like yourself these days)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your comments are like a sigh.	OTHER	P(Your comments are like)	V(a sigh)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You are as hungry as a vacuum.	OTHER	P(You are as hungry as)	V(a vacuum)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like someone reciting memorized multiplication tables.	OTHER	P(Your comments are like)	V(someone reciting memorized multiplication tables)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like a snail.	OTHER	P(You eat like)	V(a snail)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like you have blocked sinuses.	OTHER	P(Your voice sounds like)	V(you have blocked sinuses)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a red balloon.	ABUSE	P(Your sunburn makes you look like)	V(a red balloon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as night.	OTHER	P(You look as tired as)	V(night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes make me feel sick.	ABUSE	P(Your clothes make)	V(me feel sick)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are as hungry as a person who seems like they have never seen food before.	ABUSE	P(You are as hungry as)	V(a person who seems like they have never seen food before)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
This dress makes you look like a new woman.	OTHER	P(This dress makes you look like)	V(a new woman)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice sounds like car brakes squealing.	ABUSE	P(Your voice sounds like)	V(car brakes squealing)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like you have not eaten in days.	OTHER	P(You eat like)	V(you have not eaten in days)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice sounds like a powerful storm blowing through the concert hall.	OTHER	P(Your voice sounds like)	V(a powerful storm blowing through the concert hall)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your responses are like a cat with its head in box.	OTHER	P(Your responses are like)	V(a cat with its head in box)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your skin is as pale as vanilla ice cream.	OTHER	P(Your skin is as pale as)	V(vanilla ice cream)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a fraction of your age.	ABUSE	P(You are acting like)	V(a fraction of your age)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your skin is like a piece of crepe.	ABUSE	P(Your skin is like)	V(a piece of crepe)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like you're starving.	OTHER	P(You eat like)	V(you're starving)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You eat like you haven't had any great food in a while.	OTHER	P(You eat like)	V(you haven't had any great food in a while)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your lips are like cracked ice.	OTHER	P(Your lips are like)	V(cracked ice)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like a nano second.	ABUSE	P(Your attention span is like)	V(a nano second)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a fat kid.	ABUSE	P(You are as hungry as)	V(a fat kid)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You talk like a waning candle.	OTHER	P(You talk like)	V(a waning candle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like the Niagara falls.	OTHER	P(Your nose is like)	V(the Niagara falls)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a weeping willow.	OTHER	P(Your smile is like)	V(a weeping willow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like a soft breeze, but you can be more forceful when it's called for.	OTHER	P(Your voice is like)	V(a soft breeze, but you can be more forceful when it's called for)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like an overbearing waiter.	ABUSE	P(Your manners are like)	V(an overbearing waiter)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make you look very large.	ABUSE	P(Your clothes make)	V(you look very large)	LITERAL	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a librarian in a British boarding school.	ABUSE	P(With that hairstyle, you look like)	V(a librarian in a British boarding school)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You sing like you are very passionate.	OTHER	P(You sing like)	V(you are very passionate)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your presence is like you're not even there.	OTHER	P(Your presence is like)	V(you're not even there)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like a trombone.	OTHER	P(Your voice is like)	V(a trombone)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like you haven't eaten in days.	OTHER	P(You eat like)	V(you haven't eaten in days)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes are like prunes.	ABUSE	P(Your clothes are like)	V(prunes)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your skin is like the colour of the moon.	OTHER	P(Your skin is like)	V(the colour of the moon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like an old person.	ABUSE	P(You move like)	V(an old person)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as hungry as a marathon finisher.	OTHER	P(You are as hungry as)	V(a marathon finisher)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your smile is like a yellow crayon.	OTHER	P(Your smile is like)	V(a yellow crayon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like a bull in a china shop.	ABUSE	P(Your approach is like)	V(a bull in a china shop)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You are as hungry as a man returning from space.	OTHER	P(You are as hungry as)	V(a man returning from space)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your lips are like dry leaves.	OTHER	P(Your lips are like)	V(dry leaves)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like they are hanging off you.	OTHER	P(Your clothes are like)	V(they are hanging off you)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You reacted like someone who is frozen in time.	OTHER	P(You reacted like)	V(someone who is frozen in time)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look as tired as an old handbag.	ABUSE	P(You look as tired as)	V(an old handbag)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like someone has never had an adult conversation with you before.	ABUSE	P(Your responses are like)	V(someone has never had an adult conversation with you before)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes are like a tent.	OTHER	P(Your clothes are like)	V(a tent)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like a car horn.	ABUSE	P(Your voice is like)	V(a car horn)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like a distant echo.	OTHER	P(Your voice sounds like)	V(a distant echo)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like you're at the end of your tether.	OTHER	P(You are acting like)	V(you're at the end of your tether)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your movements remind me of an alien.	ABUSE	P(Your movements remind me of)	V(an alien)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes make you ten years older.	ABUSE	P(Your clothes make)	V(you ten years older)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your movements remind me of a plodding elephant.	ABUSE	P(Your movements remind me of)	V(a plodding elephant)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
This dress makes you look like a parent.	ABUSE	P(This dress makes you look like)	V(a parent)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You sing like a thunderstorm.	OTHER	P(You sing like)	V(a thunderstorm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like compliments, so they can be difficult to interpret if you don't like what someone is saying.	OTHER	P(Your comments are like)	V(compliments, so they can be difficult to interpret if you don't like what someone is saying)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your clothes make you look like you need to go shopping for some.	ABUSE	P(Your clothes make)	V(you look like you need to go shopping for some)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your lips are like a flower in winter - need some extra care.	OTHER	P(Your lips are like)	V(a flower in winter - need some extra care)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like dowel rods.	OTHER	P(Your arms are like)	V(dowel rods)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as a wilting plant.	OTHER	P(You look as tired as)	V(a wilting plant)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like you picked them off your bedroom floor this morning.	ABUSE	P(Your clothes are like)	V(you picked them off your bedroom floor this morning)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your garden is like a sea of trash.	ABUSE	P(Your garden is like)	V(a sea of trash)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You look as tired as your clothes.	ABUSE	P(You look as tired as)	V(your clothes)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of a ballet dancer with no training.	ABUSE	P(Your movements remind me of)	V(a ballet dancer with no training)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your presence is like a shadow.	OTHER	P(Your presence is like)	V(a shadow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like someone trapped in an elevator.	OTHER	P(Your presence is like)	V(someone trapped in an elevator)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your manners are like you want to be liked, but you should feel confident to tell the truth.	OTHER	P(Your manners are like)	V(you want to be liked, but you should feel confident to tell the truth)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your presence is like a cloud across the sky, you are needed and useful but can sometimes be difficult to see.	OTHER	P(Your presence is like)	V(a cloud across the sky, you are needed and useful but can sometimes be difficult to see)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a lobster on a sunbed.	OTHER	P(Your sunburn makes you look like)	V(a lobster on a sunbed)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your lips are like the Gobi desert.	OTHER	P(Your lips are like)	V(the Gobi desert)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
This dress makes you look like you are starring in a musical.	OTHER	P(This dress makes you look like)	V(you are starring in a musical)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of Quasimodo.	ABUSE	P(Your posture reminds me of)	V(Quasimodo)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your posture reminds me of weeping willow tree.	OTHER	P(Your posture reminds me of)	V(weeping willow tree)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a off-tune whistle.	ABUSE	P(You sing like)	V(a off-tune whistle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like you are running out of time.	OTHER	P(You behave like)	V(you are running out of time)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice sounds like a rasp.	OTHER	P(Your voice sounds like)	V(a rasp)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of jelly.	ABUSE	P(Your movements remind me of)	V(jelly)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like it is getting better all the time.	OTHER	P(Your voice sounds like)	V(it is getting better all the time)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your voice is like you've just run a marathon.	OTHER	P(Your voice is like)	V(you've just run a marathon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like a wrinkled sheet of paper.	OTHER	P(Your clothes are like)	V(a wrinkled sheet of paper)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are like the opposite of good customer service.	ABUSE	P(Your manners are like)	V(the opposite of good customer service)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your responses are like a talking to a tree.	ABUSE	P(Your responses are like)	V(a talking to a tree)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like a pregnant cow.	ABUSE	P(You move like)	V(a pregnant cow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like a wilting rose.	OTHER	P(You eat like)	V(a wilting rose)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a dying bird.	ABUSE	P(You sing like)	V(a dying bird)	FIGUR	DEHUM	TABOO	FRAME	NONE	NONE
With that hairstyle, you look like you've been dragged through a storm.	ABUSE	P(With that hairstyle, you look like)	V(you've been dragged through a storm)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like someone with stomach ulcers presented with a buffet of spicy food.	OTHER	P(You eat like)	V(someone with stomach ulcers presented with a buffet of spicy food)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
Your nose is like the sun.	OTHER	P(Your nose is like)	V(the sun)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your posture reminds me of a peeled orange rind.	OTHER	P(Your posture reminds me of)	V(a peeled orange rind)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like conscientious gymnast, always deliberate and well-practiced.	OTHER	P(Your smile is like)	V(conscientious gymnast, always deliberate and well-practiced)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes are like an old tree.	ABUSE	P(Your clothes are like)	V(an old tree)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like someone hasn't turned on the microphone.	OTHER	P(Your voice is like)	V(someone hasn't turned on the microphone)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your arms are like cooked spaghetti.	ABUSE	P(Your arms are like)	V(cooked spaghetti)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like you aren't feeling confident about yourself.	OTHER	P(Your clothes are like)	V(you aren't feeling confident about yourself)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You are as hungry as twenty people.	OTHER	P(You are as hungry as)	V(twenty people)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are acting like you have no idea where you are heading.	OTHER	P(You are acting like)	V(you have no idea where you are heading)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your attention span is like someone who doesn't know the definition of concentration.	OTHER	P(Your attention span is like)	V(someone who doesn't know the definition of concentration)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look as tired as a worn out dishcloth.	ABUSE	P(You look as tired as)	V(a worn out dishcloth)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like those of a dead man.	ABUSE	P(Your responses are like)	V(those of a dead man)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are sweating like a trooper.	OTHER	P(You are sweating like)	V(a trooper)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your nose is like it is stuffed, or might be blocked - maybe you aren't feeling well.	OTHER	P(Your nose is like)	V(it is stuffed, or might be blocked - maybe you aren't feeling well)	LITERAL	NONE	TABOO	EVAL	NONE	NONE
Your posture reminds me of someone very caught in the moment.	OTHER	P(Your posture reminds me of)	V(someone very caught in the moment)	LITERAL	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you aren't sure what you want.	OTHER	P(With that hairstyle, you look like)	V(you aren't sure what you want)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your comments are like the bloopers of a film.	OTHER	P(Your comments are like)	V(the bloopers of a film)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your smile is like an eclipse.	OTHER	P(Your smile is like)	V(an eclipse)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your garden is like a field without any grass only not as pretty.	ABUSE	P(Your garden is like)	V(a field without any grass only not as pretty)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your skin is like you've seen a ghost.	OTHER	P(Your skin is like)	V(you've seen a ghost)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your skin is like the colour of the snow in the arctic.	OTHER	P(Your skin is like)	V(the colour of the snow in the arctic)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a white sheet of paper.	OTHER	P(Your face is like)	V(a white sheet of paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you're not enjoying yourself.	OTHER	P(You look like)	V(you're not enjoying yourself)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your progress is like you're stepping backwards.	OTHER	P(Your progress is like)	V(you're stepping backwards)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
You reacted like a woman.	ABUSE	P(You reacted like)	V(a woman)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You move like you're hurt.	OTHER	P(You move like)	V(you're hurt)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your progress is like a slow climb up a large mountain.	OTHER	P(Your progress is like)	V(a slow climb up a large mountain)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You reacted like you got caught with your trousers down.	OTHER	P(You reacted like)	V(you got caught with your trousers down)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
You are built like a tank.	OTHER	P(You are built like)	V(a tank)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like the speed of lightening.	OTHER	P(You drive like)	V(the speed of lightening)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like you are unhappy.	OTHER	P(You are acting like)	V(you are unhappy)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your face is like it's as hot as the sun.	OTHER	P(Your face is like)	V(it's as hot as the sun)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You reacted like a virgin.	ABUSE	P(You reacted like)	V(a virgin)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
With that hairstyle, you look like you had a fight and lost.	OTHER	P(With that hairstyle, you look like)	V(you had a fight and lost)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like something is really wrong.	OTHER	P(You cry like)	V(something is really wrong)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You behave like you haven't eaten in a while.	OTHER	P(You behave like)	V(you haven't eaten in a while)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like a kazoo. 	ABUSE	P(You laugh like)	V(a kazoo)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of that person from the cold and flu advert. 	OTHER	P(You remind me of)	V(that person from the cold and flu advert)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your approach is like that of someone with brain damage.	ABUSE	P(Your approach is like)	V(that of someone with brain damage)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are as thin as someone who’s just done an extreme diet.	OTHER	P(You are as thin as)	V(someone who’s just done an extreme diet)	FIGUR	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like a horror show.	ABUSE	P(This dress makes you look like)	V(a horror show)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like a meteor hitting a mountain.	OTHER	P(Your approach is like)	V(a meteor hitting a mountain)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are sweating like the ocean.	OTHER	P(You are sweating like)	V(the ocean)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a fire truck.	OTHER	P(Your sunburn makes you look like)	V(a fire truck)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like a mudslide.	OTHER	P(Your input is like)	V(a mudslide)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you're having a bad day.	OTHER	P(You look like)	V(you're having a bad day)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You move like your energy has been sapped away.	OTHER	P(You move like)	V(your energy has been sapped away)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your progress is like wading through mud.	OTHER	P(Your progress is like)	V(wading through mud)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You drive like a race car driver.	OTHER	P(You drive like)	V(a race car driver)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are built like a professional race car driver.	OTHER	P(You are built like)	V(a professional race car driver)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You dance like you may need a few more lessons.	OTHER	P(You dance like)	V(you may need a few more lessons)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You remind me of a poor soul.	OTHER	P(You remind me of)	V(a poor soul)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like you're faking it.	OTHER	P(You laugh like)	V(you're faking it)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your progress is like an old printer printing a full colour page.	OTHER	P(Your progress is like)	V(an old printer printing a full colour page)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like you don't want this project to succeed. 	OTHER	P(Your input is like)	V(you don't want this project to succeed)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your input is like a garbled voicemail.	ABUSE	P(Your input is like)	V(a garbled voicemail)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like a bus crashing into a oil tanker.	ABUSE	P(Your approach is like)	V(a bus crashing into a oil tanker)	FIGUR	DEHUM	TABOO	EVAL	NONE	ABSURD
You drive like you're in a movie.	OTHER	P(You drive like)	V(you're in a movie)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You drive like you're driving an ambulance. 	OTHER	P(You drive like)	V(you're driving an ambulance)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are sweating like a slave picking cotton.	ABUSE	P(You are sweating like)	V(a slave picking cotton)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your movements remind me of a wasp beetle.	OTHER	P(Your movements remind me of)	V(a wasp beetle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like you're unsure.	OTHER	P(You talk like)	V(you're unsure)	LITERAL	NONE	NONE	FRAME	NONE	NONE
This dress makes you look like you are suffering.	ABUSE	P(This dress makes you look like)	V(you are suffering)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You a sweating like a sponge that has been squeezed.	OTHER	P(You are sweating like)	V(You a sweating like a sponge that has been squeezed)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like you have been running for half an hour.	OTHER	P(Your hair looks like)	V(you have been running for half an hour)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your hair looks like you sucked it up into the vacuum.	OTHER	P(Your hair looks like)	V(you sucked it up into the vacuum)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
With that hairstyle, you look like a beehive. 	OTHER	P(With that hairstyle, you look like)	V(a beehive)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are drive like you are busting to use the bathroom.	OTHER	P(You drive like)	V(You are drive like you are busting to use the bathroom)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You cry like a downpour.	OTHER	P(You cry like)	V(a downpour)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like a boy racer.	OTHER	P(You drive like)	V(a boy racer)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hair looks like it's been trimmed.	OTHER	P(Your hair looks like)	V(it's been trimmed)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You move like in a slow-motion film.	OTHER	P(You move like)	V(in a slow-motion film)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You reacted like dough in the sea.	OTHER	P(You reacted like)	V(dough in the sea)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like a bad golfer. 	OTHER	P(Your approach is like)	V(a bad golfer)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like a giant fat slug.	ABUSE	P(Your approach is like)	V(a giant fat slug)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like you're late for an important meeting.	OTHER	P(You move like)	V(you're late for an important meeting)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your input is like the foam in sea.	OTHER	P(Your input is like)	V(the foam in sea)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like an explosion.	OTHER	P(Your hair looks like)	V(an explosion)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you haven't slept in days. 	OTHER	P(You look like)	V(you haven't slept in days)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You dance like a used car lot blow-up.	OTHER	P(You dance like)	V(a used car lot blow-up)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you've been running.	OTHER	P(With that hairstyle, you look like)	V(you've been running)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your movements remind me of a washing machine's spin cycle.	OTHER	P(Your movements remind me of)	V(a washing machine's spin cycle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like no-one is watching.	OTHER	P(You dance like)	V(no-one is watching)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your nose is like you've lied too much.	OTHER	P(Your nose is like)	V(you've lied too much)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your input is like a magic eight ball.	OTHER	P(Your input is like)	V(a magic eight ball)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
